patient_id,first_name,last_name,date_of_birth,nhs_number,gender,phone_number,email,address,postcode,emergency_contact_name,emergency_contact_phone,registration_date,gp_surgery_id
P001,John,Smith1,1985-03-16,1234567890,,07123456782,john.smith1@email.com,,,,,,S001
P002,Emma,Johnson,1990-07-22,2345678901,,07234567890,emma.johnson@email.com,,,,,,S001
P003,Robert,Williams,1975-11-08,3456789012,,07345678901,robert.williams@email.com,,,,,,S002
P004,Sarah,Brown,1988-09-14,4567890123,,07456789012,sarah.brown@email.com,,,,,,S001
P005,Michael,Davis,1982-12-03,5678901234,,07567890123,michael.davis@email.com,,,,,,S003
P006,Linda,Miller,1978-04-27,6789012345,,07678901234,linda.miller@email.com,,,,,,S002
P007,James,Wilson,1992-01-19,7890123456,,07789012345,james.wilson@email.com,,,,,,S001
P008,Patricia,Moore,1983-06-11,8901234567,,07890123456,patricia.moore@email.com,,,,,,S003
P009,Christopher,Taylor,1979-10-05,9012345678,,07901234567,christopher.taylor@email.com,,,,,,S002
P010,Elizabeth,Anderson,1987-08-30,0123456789,,07012345678,elizabeth.anderson@email.com,,,,,,S001
